,RunId,Step,seed,steps_per_second,aisle_speed,number_of_passengers,conformance,seat_assignment_method,Time (s),Boarding completed,Seat shuffle waiting time (s)
0,0,2240,0,2,0.8,124,0,segmented_random_3,1120.5,True,0.0
124,1,2288,0,2,0.8,124,1,segmented_random_3,1144.5,True,0.0
248,15,2104,0,2,0.8,124,15,segmented_random_3,1052.5,True,0.0
372,4,2424,0,2,0.8,124,4,segmented_random_3,1212.5,True,0.0
496,7,2441,0,2,0.8,124,7,segmented_random_3,1221.0,True,0.0
620,3,2601,0,2,0.8,124,3,segmented_random_3,1301.0,True,0.0
744,10,2430,0,2,0.8,124,10,segmented_random_3,1215.5,True,0.0
868,6,2589,0,2,0.8,124,6,segmented_random_3,1295.0,True,0.0
992,12,2494,0,2,0.8,124,12,segmented_random_3,1247.5,True,0.0
1116,11,2595,0,2,0.8,124,11,segmented_random_3,1298.0,True,0.0
1240,13,2532,0,2,0.8,124,13,segmented_random_3,1266.5,True,0.0
1364,2,2798,0,2,0.8,124,2,segmented_random_3,1399.5,True,0.0
1488,5,2747,0,2,0.8,124,5,segmented_random_3,1374.0,True,0.0
1612,9,2766,0,2,0.8,124,9,segmented_random_3,1383.5,True,0.0
1736,14,2836,0,2,0.8,124,14,segmented_random_3,1418.5,True,0.0
1860,8,2870,0,2,0.8,124,8,segmented_random_3,1435.5,True,0.0
1984,19,2298,0,2,0.8,124,19,segmented_random_3,1149.5,True,0.0
2108,16,2710,0,2,0.8,124,16,segmented_random_3,1355.5,True,0.0
2232,17,2671,0,2,0.8,124,17,segmented_random_3,1336.0,True,0.0
2356,18,2748,0,2,0.8,124,18,segmented_random_3,1374.5,True,0.0
2480,21,2534,0,2,0.8,124,21,segmented_random_3,1267.5,True,0.0
2604,25,2428,0,2,0.8,124,25,segmented_random_3,1214.5,True,0.0
2728,23,2550,0,2,0.8,124,23,segmented_random_3,1275.5,True,0.0
2852,22,2624,0,2,0.8,124,22,segmented_random_3,1312.5,True,0.0
2976,24,2593,0,2,0.8,124,24,segmented_random_3,1297.0,True,0.0
3100,26,2536,0,2,0.8,124,26,segmented_random_3,1268.5,True,0.0
3224,30,2388,0,2,0.8,124,30,segmented_random_3,1194.5,True,0.0
3348,28,2648,0,2,0.8,124,28,segmented_random_3,1324.5,True,0.0
3472,27,2719,0,2,0.8,124,27,segmented_random_3,1360.0,True,0.0
3596,20,2868,0,2,0.8,124,20,segmented_random_3,1434.5,True,0.0
3720,29,2621,0,2,0.8,124,29,segmented_random_3,1311.0,True,0.0
3844,31,2791,0,2,0.8,124,31,segmented_random_3,1396.0,True,0.0
3968,32,2518,0,2,0.8,124,32,segmented_random_3,1259.5,True,0.0
4092,34,2850,0,2,0.8,124,34,segmented_random_3,1425.5,True,0.0
4216,40,2375,0,2,0.8,124,40,segmented_random_3,1188.0,True,0.0
4340,35,2798,0,2,0.8,124,35,segmented_random_3,1399.5,True,0.0
4464,36,2688,0,2,0.8,124,36,segmented_random_3,1344.5,True,0.0
4588,37,2733,0,2,0.8,124,37,segmented_random_3,1367.0,True,0.0
4712,33,3066,0,2,0.8,124,33,segmented_random_3,1533.5,True,0.0
4836,41,2689,0,2,0.8,124,41,segmented_random_3,1345.0,True,0.0
4960,42,2661,0,2,0.8,124,42,segmented_random_3,1331.0,True,0.0
5084,38,2846,0,2,0.8,124,38,segmented_random_3,1423.5,True,0.0
5208,46,2699,0,2,0.8,124,46,segmented_random_3,1350.0,True,0.0
5332,43,2774,0,2,0.8,124,43,segmented_random_3,1387.5,True,0.0
5456,44,2745,0,2,0.8,124,44,segmented_random_3,1373.0,True,0.0
5580,45,2721,0,2,0.8,124,45,segmented_random_3,1361.0,True,0.0
5704,39,3119,0,2,0.8,124,39,segmented_random_3,1560.0,True,0.0
5828,47,3142,0,2,0.8,124,47,segmented_random_3,1571.5,True,0.0
5952,51,2160,0,2,0.8,124,51,segmented_random_3,1080.5,True,0.0
6076,50,2311,0,2,0.8,124,50,segmented_random_3,1156.0,True,0.0
6200,48,2866,0,2,0.8,124,48,segmented_random_3,1433.5,True,0.0
6324,53,2407,0,2,0.8,124,53,segmented_random_3,1204.0,True,0.0
6448,52,2408,0,2,0.8,124,52,segmented_random_3,1204.5,True,0.0
6572,54,2688,0,2,0.8,124,54,segmented_random_3,1344.5,True,0.0
6696,55,2600,0,2,0.8,124,55,segmented_random_3,1300.5,True,0.0
6820,49,2946,0,2,0.8,124,49,segmented_random_3,1473.5,True,0.0
6944,58,2644,0,2,0.8,124,58,segmented_random_3,1322.5,True,0.0
7068,60,2579,0,2,0.8,124,60,segmented_random_3,1290.0,True,0.0
7192,56,2828,0,2,0.8,124,56,segmented_random_3,1414.5,True,0.0
7316,57,2866,0,2,0.8,124,57,segmented_random_3,1433.5,True,0.0
7440,61,2662,0,2,0.8,124,61,segmented_random_3,1331.5,True,0.0
7564,59,3112,0,2,0.8,124,59,segmented_random_3,1556.5,True,0.0
7688,62,2796,0,2,0.8,124,62,segmented_random_3,1398.5,True,0.0
7812,63,2692,0,2,0.8,124,63,segmented_random_3,1346.5,True,0.0
7936,64,2566,0,2,0.8,124,64,segmented_random_3,1283.5,True,0.0
8060,66,2497,0,2,0.8,124,66,segmented_random_3,1249.0,True,0.0
8184,65,2623,0,2,0.8,124,65,segmented_random_3,1312.0,True,0.0
8308,67,2690,0,2,0.8,124,67,segmented_random_3,1345.5,True,0.0
8432,68,2630,0,2,0.8,124,68,segmented_random_3,1315.5,True,0.0
8556,69,2716,0,2,0.8,124,69,segmented_random_3,1358.5,True,0.0
8680,71,2602,0,2,0.8,124,71,segmented_random_3,1301.5,True,0.0
8804,70,2953,0,2,0.8,124,70,segmented_random_3,1477.0,True,0.0
8928,75,2826,0,2,0.8,124,75,segmented_random_3,1413.5,True,0.0
9052,72,2841,0,2,0.8,124,72,segmented_random_3,1421.0,True,0.0
9176,74,2853,0,2,0.8,124,74,segmented_random_3,1427.0,True,0.0
9300,76,2919,0,2,0.8,124,76,segmented_random_3,1460.0,True,0.0
9424,73,2937,0,2,0.8,124,73,segmented_random_3,1469.0,True,0.0
9548,77,2973,0,2,0.8,124,77,segmented_random_3,1487.0,True,0.0
9672,78,2997,0,2,0.8,124,78,segmented_random_3,1499.0,True,0.0
9796,79,2842,0,2,0.8,124,79,segmented_random_3,1421.5,True,0.0
9920,80,3000,0,2,0.8,124,80,segmented_random_3,1500.5,True,0.0
10044,81,2881,0,2,0.8,124,81,segmented_random_3,1441.0,True,0.0
10168,82,3072,0,2,0.8,124,82,segmented_random_3,1536.5,True,0.0
10292,83,3028,0,2,0.8,124,83,segmented_random_3,1514.5,True,0.0
10416,84,2952,0,2,0.8,124,84,segmented_random_3,1476.5,True,0.0
10540,85,3029,0,2,0.8,124,85,segmented_random_3,1515.0,True,0.0
10664,86,3010,0,2,0.8,124,86,segmented_random_3,1505.5,True,0.0
10788,88,2991,0,2,0.8,124,88,segmented_random_3,1496.0,True,0.0
10912,91,2889,0,2,0.8,124,91,segmented_random_3,1445.0,True,0.0
11036,89,2988,0,2,0.8,124,89,segmented_random_3,1494.5,True,0.0
11160,92,2929,0,2,0.8,124,92,segmented_random_3,1465.0,True,0.0
11284,90,3083,0,2,0.8,124,90,segmented_random_3,1542.0,True,0.0
11408,87,3340,0,2,0.8,124,87,segmented_random_3,1670.5,True,0.0
11532,93,2996,0,2,0.8,124,93,segmented_random_3,1498.5,True,0.0
11656,95,3097,0,2,0.8,124,95,segmented_random_3,1549.0,True,0.0
11780,94,3249,0,2,0.8,124,94,segmented_random_3,1625.0,True,0.0
11904,101,2554,0,2,0.8,125,0,segmented_random_3,1277.5,True,0.0
12029,102,2517,0,2,0.8,125,1,segmented_random_3,1259.0,True,0.0
12154,96,3088,0,2,0.8,124,96,segmented_random_3,1544.5,True,0.0
12278,97,3143,0,2,0.8,124,97,segmented_random_3,1572.0,True,0.0
12402,99,3337,0,2,0.8,124,99,segmented_random_3,1669.0,True,0.0
12526,105,2462,0,2,0.8,125,4,segmented_random_3,1231.5,True,0.0
12651,100,3337,0,2,0.8,124,100,segmented_random_3,1669.0,True,0.0
12775,98,3354,0,2,0.8,124,98,segmented_random_3,1677.5,True,0.0
12899,104,2757,0,2,0.8,125,3,segmented_random_3,1379.0,True,0.0
13024,103,2778,0,2,0.8,125,2,segmented_random_3,1389.5,True,0.0
13149,106,2707,0,2,0.8,125,5,segmented_random_3,1354.0,True,0.0
13274,108,2715,0,2,0.8,125,7,segmented_random_3,1358.0,True,0.0
13399,107,2806,0,2,0.8,125,6,segmented_random_3,1403.5,True,0.0
13524,110,2534,0,2,0.8,125,9,segmented_random_3,1267.5,True,0.0
13649,109,2660,0,2,0.8,125,8,segmented_random_3,1330.5,True,0.0
13774,111,2738,0,2,0.8,125,10,segmented_random_3,1369.5,True,0.0
13899,112,2522,0,2,0.8,125,11,segmented_random_3,1261.5,True,0.0
